=== Unused Algorithms ===
# usecount  child% type   lines tst/src tstcnt codebase testinfo istest versioninfo deprecated name                                    
          0   100% Python   352    0.08      1 ours            -    -             -          - AngularAutoCorrelationsTwoAxes.v1       
          0   100% Python   780    0.33      6 ours            -    -   superseded           - CylinderPaalmanPingsCorrection.v1       
          0   100% Python   937    0.00      0 ours     untested    -             -          - RefinePowderDiffProfileSeq.v1           

=== Algorithms below threshold ===
# usecount  child% type   lines tst/src tstcnt codebase testinfo istest versioninfo deprecated name                                    
          1     0% C++      141    0.84      3 ours            -    -             -          - ExponentialMD.v1                        
          1     0% C++      222    1.77      6 ours            -    -   superseded           - StartRemoteTransaction.v1               
          1     0% C++      278    1.72      6 ours            -    -   superseded           - Authenticate.v1                         
          1     0% C++      320    0.78      6 ours            -    -             -          - ClearCache.v1                           
          1     0% C++      405    1.46      6 ours            -    -   superseded           - SubmitRemoteJob.v1                      
          1     0% C++      973    0.69     10 ours            -    -   superseded           - GetEi.v1                                
          1     0% C++     1133    0.12      5 ours            -    -             -          - ImggAggregateWavelengths.v1             
          1     0% Python   187    0.00      0 ours     untested    -             -          - PDToGUDRUN.v1                           
          1     0% Python   199    0.59      7 ours            -    -             -          - SelectNexusFilesByMetadata.v1           
          1     0% Python   373    0.00      0 ours     untested    -             -          - DPDFreduction.v1                        
          2     0% C++      284    0.82      6 ours            -    -             -          - SetMDUsingMask.v1                       
          2     0% C++      361    0.00      0 ours     untested    -             -          - CatalogPublish.v1                       
          2     0% C++      565    0.61      3 ours            -    -             -          - IntegratePeaksMDHKL.v1                  
          2     0% C++     1498    0.37     10 ours            -    -   superseded           - LoadSQW.v1                              
          2     0% Python   185    0.00      0 ours     untested    -             -          - VisionReduction.v1                      
          2   100% C++      351    0.28      3 ours            -    -             -          - LoadQKK.v1                              
          3     0% C++      344    3.52      5 ours            -    -             -          - SaveReflThreeColumnAscii.v1             
          3    66% C++      407    1.53      6 ours            -    -             -          - CropToComponent.v1                      
          4     0% C++      319    0.00      0 ours     untested    -             -          - SaveVTK.v1                              
          4     0% C++      425    0.23      4 ours            -    -   superseded  deprecated DiffractionFocussing.v1                 
          4     0% C++      661    0.62      2 ours            -    -             -          - PeakIntegration.v1                      
          4     0% Python   346    0.06      1 ours            -    -             -          - VelocityAutoCorrelations.v1             
          4     0% Python   364    0.07      1 ours            -    -             -          - VelocityCrossCorrelations.v1            
          5     0% C++      109    0.00      0 ours     untested    -             -          - CatalogLogout.v1                        
          5     0% C++      235    2.51      7 ours            -    -             -          - AbortRemoteJob.v2                       
          5     0% C++      308    0.41      2 ours            -    -             -          - LoadMcStasNexus.v1                      
          5     0% Python   300    0.44      3 ours            -    -             -          - ExportSpectraMask.v1                    
          6     0% C++      323    0.99      5 ours            -    -             -          - AverageLogData.v1                       
          6     0% C++      419    0.53      4 ours            -    -             -          - HRPDSlabCanAbsorption.v1                
          6     0% C++      905    0.00      0 ours     untested    -             -          - RefReduction.v1                         
          7     0% C++      158    0.85      4 ours            -    -             -          - PowerMD.v1                              
          7     0% C++      296    0.28      2 ours            -    -             -          - NexusTester.v1                          
          7     0% C++      490    0.44      1 ours            -    -             -          - CreateDummyCalFile.v1                   
          7     0% C++      743    0.13      2 ours            -    -             -          - DiffractionEventCalibrateDetectors.v1   
          7     0% Python   257    1.92      3 ours            -    -             -          - CleanFileCache.v1                       
          7    14% C++      474    0.19      2 ours            -    -             -          - LoadPreNexus.v1                         
          7   100% C++      822    0.13      7 ours            -    -             -          - LoadILLTOF.v1                           
          7   100% C++     3434    0.10      1 ours            -    -             -          - IntegratePeakTimeSlices.v1              
